# Temperate and Subtropical and Wilderness...
,Creature,Plain,Scrub,Forest,Rough,Desert,Hill,Mountain,Marsh
,Ant-giant,1,1,1,1,--,1,--,--
,Badger,--,--,2,2-3,--,--,--,--
,Badger-giant,--,--,--,4,--,--,--,--
,Bear-brown,2,2,3-4,5,--,2-3,1-2,--
,Beaver-giant,--,--,,--,--,--,--,1
,Beetle-bombadier,--,--,5,--,--,--,--,--
,Beetle-stag,--,--,6,--,--,--,--,--
,Beholder,--,--,--,--,--,--,--,2
,Bling dog,3,3,7,6,1,4,3,--
,Boar-wild,4,4-5,8,7,--,--,--,--
,Bugbear,5,6,9,8,--,5-8,4-5,--
,BullorCattle-wild,6-9,7-8,10,--,--,9,--,--
,Catoblepas,--,--,--,--,--,--,--,3-5
,Demi-human,10,9,11,9,--,10-20,6-7,--
,Displacer beast,--,--,12,10,--,--,8,6
,Dog-wild,11-12,10,13,11,2-5,21-22,9,--
,Dragon,13-14,11,14,12,6-7,23-24,10-11,7
,Dragonne,--,11,11,13,8,--,12,--
,Eagle-giant,15,--,15,14,9,25,13-14,8
,Frog,--,--,--,--,--,--,--,9-15
,Gargoyle,--,--,--,--,--,--,15-16,--
,Giant,17-18,12-13,16,15-16,--,26-27,17-28,--
,Goat-giant,--,--,--,17,--,28-30,29,--
,Griffon,19,14,17,18,10-11,31-32,30,--
,Herd Animal,20-25,15-20,18-20,19-20,12,33-35,--,--
,Hippogriff,26-27,21-22,21-22,21-22,13-14,36-37,31-32,--
,Horse-wild,28-30,23-25,23-25,23-25,15-19,38-39,--,--
,Humanoid,31-33,26-32,26-30,26-30,20-28,40-50,33-40,17-30
,Jackal,34-38,33-34,--,--,--,--,--,--
,KirinORLammasuORShedu,39,35,31,31,29-30,51,41,31
,LeprechaunORBrownie,--,--,32,--,--,52-53,--,--
,Leucrotta,--,--,--,32-33,--,--,42,32
,Lion,40-49,36-40,33-35,34-35,31-40,54-55,--,--
,Lizard-giant,--,--,36,36-37,41-44,--,--,33-36
,Lycanthrope,50,--,37-38,38-39,--,56-58,43-45,--
,Lynx-giant,--,--,39-40,--,--,--,--,--
,Men,51-70,41-60,41-50,40-50,45-69,59-70,46-60,37-52
,Ogre,71-74,61-65,51-55,51-55,--,71-75,61-65,--
,Owl-giant,75,66,56-58,56,70,76,66,53
,Owlbear,--,--,59-60,--,--,--,--,54
,Pegasus,76-77,67,--,57,71-74,77,67,--
,Porcupine/Skunk,--,68-69,61-63,58,--,78,--,--
,Pseudo-dragon,--,70,64-65,--,--,--,--,--
,Shambling mount,--,--,66,--,--,--,--,55-58
,Snake,78,71,67-68,59-60,75-79,79,68,59-72
,Sphinx,--,--,69-70,61-63,80-89,80-81,69-72,73-78
,Spider,79-80,72-80,71-73,64-65,90-93,82-83,--,--
,Stag,81,81-85,74-76,66,--,84-87,--,--
,Tick-giant,--,86,77-78,--,--,--,--,--
,Toad-giant,82,87,79,67,--,88,--,79-83
,Treant,--,--,80-84,--,--,--,--,--
,Troll,83-84,88,85,68-75,--,89,71-78,84-86
,Undead,--,--,86-87,76-80,--,90-91,79-83,87-92
,Wasp-giant,85-86,89,88,81-82,94-95,92,--,93-94
,Weasel-giant,87,90-91,89,83-84,--,93,84-86,95-96
,Will-o-wisp,--,--,90,85-86,--,--,87-92,97-00
,Wind Walker,--,--,--,--,--,--,93-94,--
,Wolf,88-97,92-97,91-97,87-97,96-00,94-98,95-96,--
,Wolf-worg,98-00,98-00,98-00,98-00,--,99-00,97-00,--
,,,,,,,,,
,,,,,,,,,
,Demu-human Table,Plain,Scrub,Forest,Rough,,Hills,Mountains,
,Dwarf,1-5,1-5,1-5,1-10,,1-20,1-70,
,Elf,6-70,6-60,6-70,11-15,,21-30,71-75,
,Gnome,71-80,61-80,71-95,16-85,,31-70,76-95,
,Halfling,81-80,81-00,96-00,86-00,,71-00,96-00,
,,,,,,,,,
,Dragon Table,Plain,Scrub,Forest,Rough,Desert,Hill,Mountain,Marsh
,Black,1-2,1-2,1-16,1-30,1-2,1-6,1-4,1-50
,Blue,3-4,3-4,17-18,31-32,3-20,7-10,5-15,51-52
,Brass,5-6,5-6,19-20,33-40,21-65,11-20,16-17,53-54
,Bronze,7-8,7-9,21-22,31-45,66-67,21-25,18-25,55-56
,Chimera,9-10,9-10,24-30,46-50,68-70,26-35,26-30,57-58
,Copper,11-12,11-14,31-35,51-55,71-80,36-45,31-40,59-60
,Gold,13-28,15-16,36-40,56-57,81-82,46-50,41-45,61-62
,Green,29-30,17-36,41-80,58-59,83-84,51-52,46-47,63-75
,Red,31-32,37-38,81-82,60-64,85-88,53-60,48-60,76-77
,White,33-34,39-40,83-84,65-66,89-90,61-65,61-95,78-79
,Wyvern,35-00,41-00,85-00,67-00,91-00,66-00,96-00,80-00
,,,,,,,,,
,Frog,,,,,,,,Marsh
,Giant,,,,,,,,1-70
,Killer,,,,,,,,71-80
,Poisonous,,,,,,,,81-00
,,,,,,,,,
,Giant,Plain,Scrub,Forest,Rough,,Hill,Mountain,
,Cloud,1-2,1-2,1-2,1-2,,1-3,1-15,
,Ettin,3-4,3-5,3-10,3-10,,4-10,16-20,
,Fire,5-6,6-7,11-12,11-20,,11-15,21-30,
,Frost,7-8,8-9,13-14,21-25,,16-20,31-45,
,Hill,9-95,10-94,15-93,26-85,,21-81,46-50,
,Stone,96-98,95-98,94-98,86-98,,81-98,51-90,
,Storm,99,99,99,99,,99,91-98,
,Titan,00,00,00,00,,00,99-00,
,,,,,,,,,
,Humanoid Table,Plain,Scrub,Forest,Rough,Desert,Hill,Mountain,Marsh
,Gnoll,1-5,1-10,1-10,1-20,--,1-25,1-15,1-25
,Goblin,6-10,11-15,11-20,21-30,1-40,26-50,16-50,26-35
,Hobgoblin,11-15,16-50,21-30,31-50,41-90,51-75,51-65,36-75
,Kobold,--,51-80,31-80,51-55,--,--,--,--
,Orc,16-00,81-00,81-00,56-00,91-00,76-00,66-00,76-00
,,,,,,,,,
,Lycanthrope,Plain,Scrub,Forest,Rough,Desert,Hill,Mountain,Marsh
,Werebear,1-2,,1-10,1-2,,1-2,1-75,
,Wereboar,3-25,,11-70,3-15,,3-15,--,
,Wererat,26-30,,--,16-90,,16-20,76-80,
,Weretiger,31-40,,71-90,--,,21-30,81-90,
,Werewolf,41-00,,91-00,91-00,,31-00,91-00,
,,,,,,,,,
,Men Table,Plain,Scrub,Forest,Rough,Desert,Hill,Mountain,Marsh
,Bandit,1-5,1-10,1-10,1-10,1-5,1-10,1-5,1-5
,Beserker,6-7,11-12,--,11-12,--,11-12,6-10,--
,Brigand,8-10,13-15,11-15,13-15,6-10,13-20,11-20,6-10
,Character,11-20,16-25,16-25,16-25,11-20,21-30,21-30,11-20
,Dervish,21-22,26-27,--,16-27,21-50,31-40,31-35,--
,Merchant,23-60,28-60,26-40,28-50,51-75,41-65,36-50,21-35
